Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
6. SaxStatistics,POCO (C++),twitter.json,5.721950,0,633000,6608,0
1. Parse,RapidJSON AutoUTF (C++),canada.json,11.365133,2870912,3170152,61,0
1. Parse,RapidJSON AutoUTF (C++),citm_catalog.json,7.457524,1114728,1122800,29,0
1. Parse,RapidJSON AutoUTF (C++),twitter.json,4.241189,786928,792728,25,0
2. Stringify,RapidJSON AutoUTF (C++),canada.json,22.707241,2873400,2873944,28,0
2. Stringify,RapidJSON AutoUTF (C++),citm_catalog.json,3.094626,567656,568200,24,0
2. Stringify,RapidJSON AutoUTF (C++),twitter.json,2.643702,567656,568200,24,0
3. Prettify,RapidJSON AutoUTF (C++),canada.json,51.314811,9697512,9698056,31,0
3. Prettify,RapidJSON AutoUTF (C++),citm_catalog.json,9.272604,1915624,1916168,27,0
3. Prettify,RapidJSON AutoUTF (C++),twitter.json,4.167290,851432,851976,25,0
4. Statistics,RapidJSON AutoUTF (C++),canada.json,0.887474,0,0,0,0
4. Statistics,RapidJSON AutoUTF (C++),citm_catalog.json,0.244987,0,0,0,0
4. Statistics,RapidJSON AutoUTF (C++),twitter.json,0.131982,0,0,0,0
5. Sax Round-trip,RapidJSON AutoUTF (C++),canada.json,34.695156,56,2874232,30,0
5. Sax Round-trip,RapidJSON AutoUTF (C++),citm_catalog.json,9.871077,56,568504,26,0
